TID,EngTitle,EngPurpose,LocalTitle,LocalPurpose,Type,Value,Value2,Count,RemoveItem,WorldTID,MapXYZ
索引,英文 目标,英文 提示,韩语 目标,韩语 提示,类型名称 1:狩猎(使用中) 2:对话(使用中) 3:项目收集(使用中) 4:项目使用(使用中) 5:护卫(使用中) 6:pvp 7:传达使用) 8:操作10：隐访问,Type不同而不同,Type不同而不同,任务数,项目删除,,怪兽属性
,,,,,,,,,,,
U32,CBwString,CBwString,CBwString,CBwString,U8,U32,U32,U32,U8,U16,F32:v
1,QMT_Title_000001,QMT_Purpose_000001,击杀哥布林后，收集掉落的可疑石雕塑。,石雕收集,3,20155,0,2,1,2000,1689.95|4741.98|71.50
4,QMT_Title_000002,QMT_Purpose_000002,村子南边遗迹碎片收集,收集遗迹碎片,3,20171,0,3,1,2000,1807.73|4687.71|63.41
5,QMT_Title_000003,QMT_Purpose_000003,营地旁边的空地上使用雷诺亚的粉末。,使用雷诺亚粉末,4,20173,0,1,1,2000,1785.60|4632.16|62.16
7,QMT_Title_000004,QMT_Purpose_000004,丘陵哥布林营地击杀黑魔法师。,击杀黑魔法师,1,514,0,1,0,2000,1930.44|4646.00|68.59
8,QMT_Title_000005,QMT_Purpose_000005,击杀黑魔法师后，获得第二封信条。,获得第二封信条,3,20174,0,1,1,2000,1930.44|4646.00|68.59
9,QMT_Title_000006,QMT_Purpose_000006,干掉剧毒翅膀,击杀剧毒翅膀,1,533,0,1,0,2000,1985.63|5080.63|142.18
10,QMT_Title_000007,QMT_Purpose_000007,找到哥布林的宝物箱。,找到哥布林的宝藏,3,20025,0,1,1,2000,1587.21|5070.45|75.15
11,QMT_Title_000008,QMT_Purpose_000008,处置北神驯兽师。,打死驯兽师,1,546,0,1,0,2000,1644.05|5028.34|64.89
12,QMT_Title_000009,QMT_Purpose_000009,杀死北神驯兽师，拿下首级。,取下驯兽师的脖子,3,20030,0,1,1,2000,1644.05|5028.34|64.89
13,QMT_Title_000010,QMT_Purpose_000010,击杀酋长艾尔克塔,击杀酋长,1,543,0,1,0,2000,1560.52|4797.58|79.74
14,QMT_Title_000011,QMT_Purpose_000011,处理酋长后收回不详之石,邪恶石雕收集,3,20027,0,1,1,2000,1560.52|4797.58|79.74
15,QMT_Title_000012,QMT_Purpose_000012,向我的方向移动,转到埃琳娜,2,1066,0,1,0,2000,1951.92|5221.59|63.68
16,QMT_Title_000013,QMT_Purpose_000013,移动后使用光之玉,使用光珠,4,20175,0,1,1,2000,1951.92|5221.59|63.68
19,QMT_Title_000014,QMT_Purpose_000014,击杀残酷的鲁卡鲁,击杀残酷的鲁卡鲁,1,564,0,1,0,2000,1893.19|5532.83|75.70
20,QMT_Title_000015,QMT_Purpose_000015,击杀刚强的鲁阿卡,击杀刚强的鲁阿卡,1,565,0,1,0,2000,1879.13|5487.02|72.03
21,QMT_Title_000016,QMT_Purpose_000016,击杀戴姆里伸黑魔法师,戴姆里伸黑魔法师,1,584,0,1,0,2000,1605.19|5204.33|77.98
22,QMT_Title_000017,QMT_Purpose_000017,拾取第三封信纸,拾取第三封信纸,3,20184,0,1,1,2000,1605.19|5204.33|77.98
25,QMT_Title_000018,QMT_Purpose_000018,分队长马凯乐,分队长马凯乐,1,593,0,1,0,2000,1289.81|5511.76|82.69
26,QMT_Title_000019,QMT_Purpose_000019,使用光之珠,使用光珠,4,20185,0,1,1,2000,1289.81|5511.76|82.69
27,QMT_Title_000020,QMT_Purpose_000020,绿阴林中幼林蜘蛛处置。,小蜘蛛丛林,1,601,0,3,0,2000,1408.02|5222.58|51.49
28,QMT_Title_000021,QMT_Purpose_000021,绿阴森林中的森林蜘蛛处置。,蜘蛛丛林,1,602,0,7,0,2000,1408.02|5222.58|51.49
29,QMT_Title_000022,QMT_Purpose_000022,处理国王后回收血石,血石回收,3,20070,0,1,1,2000,1161.39|5214.58|78.66
30,QMT_Title_000023,QMT_Purpose_000023,可疑的场所中使用真实的水晶,使用真理水晶,4,20189,0,1,1,2000,1176.91|4865.40|67.16
31,QMT_Title_000024,QMT_Purpose_000024,使用真实的修改被黑魔法师处置。,术士援助,1,350013,0,1,0,2000,1176.91|4865.40|67.16
10284,QMT_Title_000025,QMT_Purpose_000025,死者的坑中混沌的处置。,破坏混沌之树,1,634,0,1,0,2000,1409.81|4900.65|26.65
10285,QMT_Title_000026,QMT_Purpose_000026,死者的坑中处理。,干掉格拉伊德,1,633,0,1,0,2000,1391.13|4766.33|35.47
10304,QMT_Title_000027,QMT_Purpose_000027,女王的蜘蛛处置。,杀死蜘蛛女王,1,645,0,1,0,2000,1123.92|4700.95|48.37
32,QMT_Title_000028,QMT_Purpose_000028,黑魔法师的传能处置。,杀术士宠物,1,646,0,7,0,2000,1150.04|4812.27|40.86
33,QMT_Title_000029,QMT_Purpose_000029,真实的水晶使用隐藏的敌人的侦察兵找到。,使用真理水晶,4,20203,0,1,1,2000,1330.91|4392.98|61.13
34,QMT_Title_000030,QMT_Purpose_000030,堕落的侦察兵干掉,堕落侦察员,1,350017,0,1,0,2000,1330.91|4392.98|61.13
35,QMT_Title_000031,QMT_Purpose_000031,不兵营地中。应用健康狗的肉收藏,收集地狱猎犬肉块,3,20193,0,6,1,2000,1378.52|4338.09|61.41
10327,QMT_Title_000032,QMT_Purpose_000032,污染的墓地中使用圣水,使用圣水,4,20088,0,1,1,2000,1349.17|4184.64|67.44
10328,QMT_Title_000033,QMT_Purpose_000033,处置克兰戴斯。,击败三头犬,1,663,0,1,0,2000,1427.61|4118.22|78.93
63,QMT_Title_000034,QMT_Purpose_000034,堕落的护卫骑士消灭后收集古代的文章,古文收集,3,20097,0,7,1,2000,1180.47|4301.48|87.82
