TID,Comment,Type,Movie,Image,Camera,TargetTID,EngDesc,LocalDesc,,,,,,,
任务场景,管理者,"类型 : 0 - 游戏画面, 1 - 2D画面, 2 - 视频",视频,照片,探秘照相机,相机焦点(0 - 播放),英文 台词,韩文台词,,,,,,,
2,,,,,,,,,,,,,,,
U32,CBwString,U8,CBwString,CBwString,CBwString,U32,CBwString,CBwString,,,,,,,
1,,0,,,quest_cam_alone_chest_buff,1009,QST_Desc_000001,最近 这一地区的恶魔发生过度增殖,,,,,,,
2,,0,,,quest_cam_alone_chest_buff,1009,QST_Desc_000002,由于是自然发生的常有事件，派遣军们正在向敌人的讨伐以稳定局势 ,,,,,,,
3,,0,,,quest_cam_alone_chest_buff,1009,QST_Desc_000003,果真敌人的们会因为一次的讨伐而就此罢休吗？,,,,,,,
4,,0,,,quest_cam_alone_chest_buff,1009,QST_Desc_000004,看起来这次的异常不像是自然现象,,,,,,,
5,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000005,按理说我应该亲自去到怪兽的营地调查，但是我的士兵在实战中还很薄弱,,,,,,,
6,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000006,所以 用户$GetName()代替我 惩治怪兽并调查他们的尸体,,,,,,,
8,,0,,,quest_cam_alone_medium_buff,1009,QST_Desc_000007,带回来的那些诡异的石头子虽然模糊但是能感觉到一股黑暗的力量 ,,,,,,,
9,,0,,,quest_cam_alone_medium_buff,1009,QST_Desc_000008,虽然还不确定是否与异常有关，但是仍有调查的价值,,,,,,,
11,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000009,经调查，得出了$GetName()拿回来的诡异的石子与这次异常有关的结论,,,,,,,
12,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000010,继续将实验做下去研究异常是怎样进入到石子的 ,,,,,,,
13,,0,,,quest_cam_alone_chest_buff,1009,QST_Desc_000011,将为了做实验而带回来的石子分解成碎末， 把他们利用在西边的瀑布前,,,,,,,
15,,0,,,quest_cam_alone_chest_buff,1009,QST_Desc_000012,咦？正常的怪兽被传唤回来，真奇怪/n /n难道是魔法公式错了吗,,,,,,,
16,,0,,,quest_cam_alone_medium_buff,1009,QST_Desc_000013,我的能力有限，把握不了现在的状况,,,,,,,
21,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000014,既然我能力有限那就去在这附近的雷诺师傅那里继续研究吧,,,,,,,
22,,0,,,quest_cam_alone_medium_buff,1009,QST_Desc_000015,在试验中损耗了许多神圣力,,,,,,,
23,,0,,,quest_cam_alone_medium_buff,1009,QST_Desc_000016,为了补充神圣力在回去的路上捡些遗骸吧,,,,,,,
26,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000017,嗯 确实有尝试的价值.,,,,,,,
27,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000018,既然有遗骸的痕迹在此当中萃取出样本不难,,,,,,,
31,,0,,,quest_cam_alone_chest_buff,1011,QST_Desc_000019,利用遗骸里的碎片将诡异的石子粉碎做成了魔法粉 ,,,,,,,
32,,0,,,quest_cam_alone_chest_buff,1011,QST_Desc_000020,将魔法粉用在宿营地的右侧吧，如果我的推断没错经不住的小兽应该会出现,,,,,,,
35,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000021,虽然不完整，空虚的邪念被召回了,,,,,,,
36,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000022,空洞邪念的石块是人为产生的证据。自修改好的生成了那么好存敌人就没有出现。,,,,,,,
37,,0,,,quest_cam_alone_medium_buff,1011,QST_Desc_000023,黑色暗的敌人他们会强烈改变生命，生命体快速繁殖的功能。,,,,,,,
38,,0,,,quest_cam_alone_medium_buff,1011,QST_Desc_000024,问题是要调查出怪兽们是怎么得到拥有暗黑力量的石子，那事情再进行调查才能知道。 ,,,,,,,
39,,0,,,quest_cam_alone_medium_buff,1011,QST_Desc_000025,这次的事情辛苦了！但这个问题完全解决之前还需要继续得到$（）GetName的帮助。,,,,,,,
41,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000026,是因为自然而然产生的空洞的邪念使得怪兽们增殖了吗？,,,,,,,
42,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000027,我很确定这次事件的始作俑者就在这周围,,,,,,,
43,,0,,,quest_cam_alone_chest_buff,1011,QST_Desc_000028,所以搜索了周围，果然能感觉到强大的暗黑气息,,,,,,,
44,,0,,,quest_cam_alone_chest_buff,1011,QST_Desc_000029,现在只要找到是怪兽增殖的证据就ok啦,,,,,,,
45,,0,,,quest_cam_alone_medium_buff,1011,QST_Desc_000030,请处理山坡怪兽营中暗黑势力，调查一下尸体.,,,,,,,
48,,0,,,quest_cam_alone_medium_buff,1011,QST_Desc_000031,附近的暗气消失了。$ GetName（黑色）处置了暗黑势力并且回收的缘故吧,,,,,,,
49,,0,,,quest_cam_alone_medium_buff,1011,QST_Desc_000032,可是神奇的是回收回来的是写着奇怪文字的纸条,,,,,,,
50,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000033,哦。。这是和最近遥远带回的待破译符号相同的符号,,,,,,,
51,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000034,对于字符的调查，我会继续。简单的补偿，以表感谢。,,,,,,,
61,,0,,,quest_cam_alone_chest_buff,1024,QST_Desc_000035,黑魔法史好骚乱越来越大了。军方认为这是毁灭者所为。但是。。。,,,,,,,
62,,0,,,quest_cam_alone_medium_buff,1024,QST_Desc_000036,不管如何，现在最主要的是找出原因,,,,,,,
63,,0,,,quest_cam_alone_medium_buff,1024,QST_Desc_000037,周围的长大的黑色安息暗气剧毒叶片的最佳派。所以剧毒翅膀处，导致置拜托了。,,,,,,,
65,,0,,,quest_cam_alone_medium_buff,1024,QST_Desc_000038,一个好用剧毒消灭周围异常的天气在黑色安息暗散布。,,,,,,,
66,,0,,,quest_cam_alone_medium_buff,1024,QST_Desc_000039,根本的问题解决的燃眉之急，但可以关掉了。,,,,,,,
72,,0,,,quest_cam_alone_chest_buff,1032,QST_Desc_000040,特别是最后为止有好的怪兽密码门上怪兽自宝物的物品进行说明的内容。,,,,,,,
73,,0,,,quest_cam_alone_chest_buff,1032,QST_Desc_000041,密码门好内容贫乏做正确的事项为止掌握不好，但怪兽宝物黑色水性暗好的确定。,,,,,,,
74,,0,,,quest_cam_alone_chest_buff,1032,QST_Desc_000042,还有怪兽的水性黑色暗好势败儿，肯定有好怪兽和战斗中我作为不利的作用。,,,,,,,
76,,0,,,quest_cam_alone_chest_buff,1032,QST_Desc_000043,所以发生大规模战斗之前，必须暗黑色好水回收，印开封性或破坏。,,,,,,,
78,,0,,,quest_cam_alone_medium_buff,1032,QST_Desc_000044,这怪兽好的宝物。强大的黑色暗好势败的。,,,,,,,
79,,0,,,quest_cam_alone_medium_buff,1032,QST_Desc_000045,怪兽魔法师使用黑色暗源泉这好的。印开封工作开始了。,,,,,,,
91,,0,,,quest_cam_alone_chest_buff,1375,QST_Desc_000046,春光好师生们黑色暗好势败在这怪兽的路径进行调查。但是要想发现好的黑魔法历史痕迹。,,,,,,,
92,,0,,,quest_cam_alone_chest_buff,1375,QST_Desc_000047,我会好这异常增殖现象的存介入敌人的黑魔法师就不是了。,,,,,,,
94,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000048,练师就到黑色暗势力处理好，好，好敌脖子了。,,,,,,,
97,,0,,,quest_cam_alone_medium_buff,1375,QST_Desc_000049,练邪念就到师好读好暗黑色势力如何怪兽转达给了确认。,,,,,,,
101,,0,,,quest_cam_alone_medium_buff,1375,QST_Desc_000050,好练邪念就到师通过对怪兽黑色暗势力好的存敌人能够掌握。但是存敌人上联合中地位相当高的问题。,,,,,,,
103,,0,,,quest_cam_alone_medium_buff,1375,QST_Desc_000051,首先，先把能解决的事情就办了。,,,,,,,
104,,0,,,quest_cam_alone_medium_buff,1375,QST_Desc_000052,怪兽的黑色暗好势力不稳定状态。,,,,,,,
105,,0,,,quest_cam_alone_chest_buff,1375,QST_Desc_000053,就到练师根据判断好邪念，怪兽的黑色暗好来源怪兽好宝物和火焰的石头雕刻。,,,,,,,
106,,0,,,quest_cam_alone_chest_buff,1375,QST_Desc_000054,怪兽好宝物已经回收了，不祥的石头雕刻好怪兽族长<电击’163：21 :“Text”驼鹿塔”的/ >，将<电击”处，导致置163：21 :“Text”的石头雕刻“/ >处置之后回收给我。,,,,,,,
108,,0,,,quest_cam_alone_chest_buff,1032,QST_Desc_000055,至此，这个地区的异常现象消失。但是未来很担心。,,,,,,,
109,,0,,,quest_cam_alone_chest_buff,1032,QST_Desc_000056,黑色暗势败的好地方，这里就不是了。,,,,,,,
121,,0,,,quest_cam_alone_medium_buff,1054,QST_Desc_000057,这一地区最先冤磨床操纵的黑魔法师功成报价员给抓住了。,,,,,,,
122,,0,,,quest_cam_alone_medium_buff,1054,QST_Desc_000058,功成报价员报告好埃师生急忙黑魔法师追赶，但黑魔法史很好的实力。,,,,,,,
123,,0,,,quest_cam_alone_chest_buff,1054,QST_Desc_000059,因为接着埃丽娜牧师发出了请求增援的信号,,,,,,,
124,,0,,,quest_cam_alone_chest_buff,1054,QST_Desc_000060,我们要追击埃丽娜牧师和黑魔法师的踪迹，但是这种事情$GetName（）比我们更在行吧,,,,,,,
125,,0,,,quest_cam_alone_chest_buff,1054,QST_Desc_000061,一旦发现牧师的花就用光之球告知我们吧，我们会第一时间赶到捉住黑魔师  ,,,,,,,
127,,0,,,quest_cam_alone_chest_buff,1066,QST_Desc_000062,多亏了及时赶到将黑魔法师抓住了 ,,,,,,,
128,,0,,,quest_cam_alone_chest_buff,1066,QST_Desc_000063,废了这么大力气将黑魔法师抓住了但愿他身上有我们想要的信息,,,,,,,
129,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000064,明光将永伴$GetName() ,,,,,,,
141,,0,,,quest_cam_alone_medium_buff,1065,QST_Desc_000065,仅是光的牧师已经苦不堪言再加上支援就算逃跑也是失败,,,,,,,
142,,0,,,quest_cam_alone_medium_buff,1065,QST_Desc_000066,切，那没有办法了，如果是想从我这里得到信息还是放弃的好,,,,,,,
143,,0,,,quest_cam_alone_medium_buff,1065,QST_Desc_000067,你想知道的我都不会告诉你 哈哈哈哈哈,,,,,,,
145,,0,,,quest_cam_alone_chest_buff,1054,QST_Desc_000068,黑魔法师抓住，算是最近发生的使当中最大的事件了,,,,,,,
146,,0,,,quest_cam_alone_chest_buff,1054,QST_Desc_000069,再审问黑魔法师的话得出有力情报,,,,,,,
151,,0,,,quest_cam_alone_chest_buff,1074,QST_Desc_000070,我们的光牧师们小时候通过特殊的训练可以感受黑暗气息。,,,,,,,
152,,0,,,quest_cam_alone_chest_buff,1074,QST_Desc_000071,最近我们在这一带发现了使用这种功能的魔法师，但是一经发现他就逃走了,,,,,,,
153,,0,,,quest_cam_alone_chest_buff,1074,QST_Desc_000072,应该知道的事情了。GetName就是$（）帮助捉拿的黑魔法师就是卡萨而。,,,,,,,
154,,0,,,quest_cam_alone_medium_buff,1074,QST_Desc_000073,依危旧房院命令不GetName $（）也有重要的事情告诉你。,,,,,,,
155,,0,,,quest_cam_alone_medium_buff,1074,QST_Desc_000074,黑魔法师磨床管理好，黑色暗势败了，败势消失，该区域好磨床无能为力了，可以为止告知。,,,,,,,
156,,0,,,quest_cam_alone_medium_buff,1074,QST_Desc_000075,当然，这里为止的程度估计的事情了。,,,,,,,
