TID,Type,EngTitle,EngMainScript,EngProgressScript,EngFinishScript,EngMiniBarFinish,LocalTitle,LocalMainScript,LocalProgressScript,LocalFinishScript,LocalMiniBarFinish,Area,Grade,Level,Repeat,RepeatDay,Share,StartType,StartValue,StartCinemaTID,FinishType,FinishValue,FinishCinemaTID,TimeOut,PrevQuest,NextQuest,DemandRace,DemandLowLv,DemandMaxLv,DemandWeapon,DemandWLv,GiveItem1,GiveItemCnt1,GiveItem2,GiveItemCnt2,EventTID,MissionTID,RewardTID,DropTID
指数：任务分离器,类型0：方案1：一般2：重复,英文 题目,英文 本文,英文 进行中的npc 台词（详细信息显示在NPC????）,英语完成脚本,英文 任务完成时 任务中出现的脚本,韩语 字幕,中文 本文,中文进行中的npc 台词（详细信息显示在NPC????）,中文 完成脚本,中文任务完成时 任务中出现的脚本,地区,等级：1级：简单的2：有些简单的3：4平均：5的一些困难：硬盘,等级（在此适当的水平，以显示任务内容）,是否重复0：NR1：重复,重复单位,是否分享0:不分享 1:分享,启动条件1：NPC接受2：自动主武器等级：项目采用3：本地访问车手4：questcomplete自动5：自动6人物等级,启动条件值,开始电影导演,完成条件1：NPC完成2：自动完成,完成条件值,整条生产电影,时间限制（秒）,上一个任务,下一个任务,需要满足,需要的最低水平,需要的最高水平,要求主武器,所需的主要武器技能,付款项目1,付款项目数量,付款项目2,付款项目数量,事件发生 - 如果护送WORLDPLACE TID,使命阵列ID,焊惑酒捞叼硅凯,降阵列
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U32,U8,CBwString,CBwString,CBwString,CBwString,CBwString,CBwString,CBwString,CBwString,CBwString,CBwString,U32,U8,U8,U8,U32,U8,U8,U32,U32,U8,U32,U32,U32,U32:v,U32:v,U8:v,U8,U8,U32:v,U8:v,U32,U8,U32,U8,U64,U32:v,U32:v,U32:v
1,0,QUT_Title_000001,QUT_Main_000001,QUT_Progress_000001,QUT_Finish_000001,QUT_Mini_000001,哥布林的异常繁殖,最近.这个领域的哥布林正在异常繁殖. /n /n自然情况下是很少出现的状况，因此要镇压叛军平定这种状况. 但是围剿这些家伙们的话是否可以稳住这次事态? /n /n感觉这次异常繁殖现象不是自然性的现象. 所以 <TC '163:21:21' Text'在哥布林阵营' /><TC '163:21:21' Text'请干掉哥布林' />然后调查他们的尸体.,<TC '163:21:21' Text干掉'哥布林' />调查他们的尸体.,"带着的奇怪石雕还没有微弱,仍然感受到了黑暗气息.",艾丽卡传达石雕.,1102,0,1,0,0,1,1,1009,0,1,1009,0,0,0,3,1,1,99,0,0,0,0,0,0,0,1,100001,1
3,0,QUT_Title_000002,QUT_Main_000002,QUT_Progress_000002,QUT_Finish_000002,QUT_Mini_000002,雷诺阿的请求,"相信奇怪石雕和哥布林异常增殖有关. 想要掌握正确的情况但是自己能力不足... /n /n不管怎么说在<TC '163:21:21' Text'临时营地' /><TC '163:21:21' Text'雷诺阿' />拜托您继续试验吧. /n /n 进行试验时会消耗很多神圣之力,  踏上去村下之路 <TC '163:21:21' Text'在古代遗址' />处 <TC '163:21:21' Text'遗址雕像' />请找到.古代遗址是上古时代光之神建造的被破坏的构造物.从中会获得试验必要的神圣之力",在<TC '163:21:21' Text'古代的遗迹' /><TC '163:21:21' Text收集'遗迹雕像' />之后给在 <TC '163:21:21' Text'临时营地' />的 <TC '163:21:21' Text'雷诺阿' />拿去.,无法拒绝雷诺阿司祭的请求.,给雷诺阿传达遗迹的雕像.,1102,0,1,0,0,1,1,1009,0,1,1011,0,0,1,4,1,1,99,0,0,0,0,0,0,0,4,100003|401094,0
4,0,QUT_Title_000003,QUT_Main_000003,QUT_Progress_000003,QUT_Finish_000003,QUT_Mini_000003,持续不断地实验,利用遗址碎片中的神圣之力.分解奇怪的石雕发现它们是由魔法粉末构成的/n /n在野营地旁边 <TC '163:21:21' Text'空地上' /> <TC '163:21:21' Text'使用雷诺阿的粉末后' />请确认结果. /n /n我计算准确的话分明经不起神圣之力的邪恶存在会出现.,野营地前方<TC '163:21:21' Text'空地' />上使用 <TC '163:21:21' Text'改良的雷诺阿粉末' />.,"虽然不完整但是可以召唤空虚的邪念. /n /n空虚的存在又被称为黑暗的存在它能强大的改变生命体,能让生命体迅速滋生.",给雷诺阿报告.,1102,0,3,0,0,0,1,1011,0,1,1011,0,0,3,0,1,3,99,0,0,20173,1,0,0,0,5,100004,0
5,0,QUT_Title_000004,QUT_Main_000004,QUT_Progress_000004,QUT_Finish_000004,QUT_Mini_000004,秘密的托付,自然情况下产生的空虚邪念会强化哥布林进而引起异常增殖吗? /n /n我认为引发这次事件的存在依然还在周围.因此搜索周围时会察觉到强大的黑暗气息. /n /n此时存在的黑暗是引发哥布林异常繁殖应该获取的证据. /n /n<TC '163:21:21' Text'在山坡哥布林阵营' /> <TC '163:21:21' Text'干掉' />黑暗的存在并请调查这个尸体.,<TC '163:21:21' Text'山坡哥布林阵营' />上干掉 <TC '163:21:21' Text'黑暗的存在' />并调查他的尸体.,在附近感受到的黑暗气息消失了. 因为$GetName()干掉了黑暗存在并收回了它的圣物.那回收的圣物神奇吗? 上面刻着看不懂的文字. /n /n嗯嗯… 最近请求情报团员破译的文字和带来的文字一样.,给雷诺阿传达纸条.,1102,0,4,0,0,1,1,1011,0,1,1011,0,0,10027,0,1,4,99,0,0,0,0,0,0,0,7|8,100005|401179|401180,2
6,0,QUT_Title_000005,QUT_Main_000005,QUT_Progress_000005,QUT_Finish_000005,QUT_Mini_000005,干掉剧毒翅膀,黑魔法师的骚乱渐渐扩大了. /n /n我认为军队所有的这些情况好像是戴姆里伸的阴谋… 不管怎么样现在重要的应该是清除骚乱的原因吧? /n /n在周围感受到了强大的黑暗气息 <TC '163:21:21' Text'这是被叫做剧毒翅膀' />的贝斯帕德. 所以 <TC '163:21:21' Text'拜托请干掉' />剧毒翅膀. /n /n只有这个家伙消失了聚集在周围的不正常黑暗气息也才会渐渐流逝.除此之外汲取黑暗之力而变得粗暴的贝斯帕德才会平静下来.,请干掉<TC '163:21:21' Text'剧毒翅膀' />,因剧毒翅膀消失而以非正常形式凝聚的黑暗气息正在消散. /n /n根本问题没有得到解决但是暂时也处理一些.,向艾米报告.,1102,0,5,0,0,1,1,1024,0,1,1024,0,0,10052,0,1,5,99,0,0,0,0,0,0,0,9,100006|401177|401178,0
7,0,QUT_Title_000006,QUT_Main_000006,QUT_Progress_000006,QUT_Finish_000006,QUT_Mini_000006,哥布林的宝物,到最后为止迪诺大人都携带着写有哥布林宝物内容说明的暗语文字. /n /n只看暗语文字说明的话无法正确把握哥布林宝物.但是给哥布林下的保佑内容很是费脑子.不管怎么说在展开大规模战斗开始之前处理哥布林宝物好像很不错. /n /n<TC '163:21:21' Text'在哥布林阵营' /> <TC '163:21:21' Text'损毁哥布林的宝物之后' />传达给派遣出去的哥布林阵营戴伊基.,<TC '163:21:21' Text'在哥布林阵营' />回收 <TC '163:21:21' Text'哥布林的宝物' />,这个就是哥布林的宝物吗?感觉到了强大的黑暗之力. /n /n因为是哥布林萨满使用的黑暗源泉所以应该赶紧封印起来.,向戴伊基传达宝物箱.,1102,0,6,0,0,1,1,1032,0,1,1375,0,0,10073,0,1,6,99,0,0,0,0,0,0,0,10,100007|401111|401112|401113|401313|401314|401315,0
8,0,QUT_Title_000007,QUT_Main_000007,QUT_Progress_000007,QUT_Finish_000007,QUT_Mini_000007,跟随黑暗的痕迹,"光之祭司们正在调查给黑暗之力哥布林传达的途径.但是没有发现黑魔法师的痕迹. /n /n不管怎么说这次异常繁殖现象的存在好像不是黑魔法师所为. /n /n北神驯兽师操纵黑暗之力, <TC '163:21:21' Text'干掉北神驯兽师' />并且请带来<TC '163:21:21' Text'这个家伙' />的脖子. /n /n揣测北神驯兽师的邪念才能确认黑暗之力是如何传达给哥布林的.",<TC '163:21:21' Text'北神驯兽师' />并带来这个家伙的脖子<TC '163:21:21' Text'脖子' />,辛苦了.用这个就能获得哥布林黑暗之力进而准确地把握状况.,向戴伊基传达勒克的头.,1102,0,7,0,0,1,1,1375,0,1,1375,0,0,10074,9,1,7,99,0,0,0,0,0,0,0,11|12,100008|401108|401109|401110|401310|401311|401312,3
9,0,QUT_Title_000008,QUT_Main_000008,QUT_Progress_000008,QUT_Finish_000008,QUT_Mini_000008,未知的事实,"通过勒克的邪念才能得知哥布林黑暗之力的存在.但是问题是那个存在是艾因哈伊联合中的指挥... 所以一旦我们能够解决的问题应该从一开始就要处理. /n /n到现在为止通过勒克邪念才知道利用哥布林黑暗之力引发的异常现象.因此哥布林携带的黑暗之力无法消失. /n /n根据勒克的记忆显示哥布林携带的黑暗之源是哥布林宝物和不祥的雕像角. /n /n已经损毁了哥布林宝物.不祥石雕是哥布林的族长 <TC '163:21:21' Text'艾尔克塔' />同样也是这样, 干掉它的话 <TC '163:21:21' Text'应该回收' />不祥的石雕.",干掉哥布林的族长 <TC '163:21:21' Text'艾尔克塔' />将他带来的<TC '163:21:21' Text'不祥石雕' />回收.,用这个就能使这一地域发生的异常现象消失.也不是说以后就不用担心了.黑暗之力不能只在这个地方使用.,菊花提供了一个阴险的瓦砾。,1102,0,7,0,0,1,1,1375,0,1,1375,0,0,8,0,1,7,99,0,0,0,0,0,0,0,13|14,100009|401105|401106|401107|401307|401308|401309,4
10,0,QUT_Title_000009,QUT_Main_000009,QUT_Progress_000009,QUT_Finish_000009,QUT_Mini_000009,罗尼亚的委托,最近操纵这一地域的砂轮时黑魔法师把我们这边的情报员抓获了. /n /n埃列娜接到情报员的报告后急忙追上黑魔法师但是这个家伙好像有着不容忽视的实力.紧接着埃列娜发出了增援请求. /n /n为了救援应该追踪埃列娜的痕迹.对于这件事情来说 $GetName()相比我们相比别人更熟练. /n /n<TC '163:21:21' Text'为了发现埃列娜' />埃列娜 <TC '163:21:21' Text'请使用' />光之球.我们立即就会向那个地方瞬间移动 <TC '163:21:21' Text'就可以活捉' />黑魔法师. ,发现<TC '163:21:21' Text'埃列娜' />后请使用 <TC '163:21:21' Text'光之球' />,"没有来晚真是幸运啊.多亏黑魔法师被抓住了. /n /n像这样费尽心思的抓住黑魔法师如果能从黑魔法师那里打听到重要情报的话,那真是太好了.无论何时/n /n那么$GetName()保佑你与光同在. ",在谈话中埃琳娜。,1102,0,8,0,0,0,1,1054,0,1,1066,0,0,10085,0,1|3,8,99,0,0,20175,1,0,0,0,15|16,100010|401102|401103|401104|401304|401305|401306,0
12,0,QUT_Title_000010,QUT_Main_000010,QUT_Progress_000010,QUT_Finish_000010,QUT_Mini_000010,暮色中的存在,"光之寺院第一个目标是黑暗的存在要在中间消灭它.所以我们的光之司祭们从很小时候开始通过特殊训练能感知到黑暗气息存在. /n /n最近使用我们的能力时发现了管理这一地域的黑魔法师.黑魔法师被我们发现时他选择了逃走. /n /n知道这件事情吗? ?? $GetName()在别人帮助下抓住的卡斯勒是管理这一地域的黑魔法师. /n /n至今在寺院还没有任何的下达命令 $GetName()对别人来说不知道是不是一件无可奉告的事情,由于黑魔法师在管理砂轮机所以在使用黑暗之力时他的力量会就消失.等到这一地域的砂轮机没有动力时能告诉您吗 /n /n?? ????? ?? ?? ???? ??? ????? ????到现在为止到了哪一程度当然可以猜想. /n /n问题就是卡勒斯消失后依然可以感觉到黑暗气息. 黑暗污染在很长一段时间存在的话所有存在都会自然地被黑暗之力所污染. /n /n<TC '163:21:21' Text'随着时间流逝黑暗污染存在' />会变得愈发强大而粗暴.所以应该尽快干掉这个家伙.",<TC '163:21:21' Text'被黑暗污染的存在' />会随着时间的流逝而变得凶猛强大.那么在这之前请干掉<TC '163:21:21' Text'被污染的存在' />,"辛苦了. 多亏$GetName()帮忙才让黑暗之力消失了.现在我们的光之司祭们要净化这个地方了,黑暗之力以后也不会在这个地方生长了.",报告埃尼S.,1102,0,9,0,0,1,1,1074,0,1,1074,0,0,10101,0,1|3,9,99,0,0,0,0,0,0,0,20|19,100012|401095|401096|401097|401098|401194,0
14,0,QUT_Title_000011,QUT_Main_000011,QUT_Progress_000011,QUT_Finish_000011,QUT_Mini_000011,令人头痛的存在,"每次 $GetName()给我们的计划遭到了阻止黑魔法师们好像变换了处理这件事情的方式. /n /n灰皮肤一族在砂轮村庄强烈感受到了黑魔法师的气息. /n /n小心翼翼地隐藏气息而处理事情的方法不管用,力量暴露的话是不是意味要快速完成目标吗? /n /n当然黑魔法师们并没有改变使用方法.像上次一样我们彻底攻击他们的话.就会妨碍他们的机会吗 /n /n<TC '163:21:21' Text'灰皮肤一族砂轮村庄' />?? <TC '163:21:21' Text'干掉' />黑魔法师并且拿上他们 <TC '163:21:21' Text'黑暗的圣物' />并且进行回收. ",干掉<TC '163:21:21' Text'黑魔法师' />之后收回他携带的<TC '163:21:21' Text'黑暗的圣物' />,"这是新纸条? /n /n不管怎么说纸条也是带有黑暗之力的圣物同时也是高级混沌存在对自己的追随者来说无论何时看见它都有命令书的意思. /n /n现在纸条上的内容还没有完全分析出来,将纸条聚集在一起就会解释更多的内容. 难现在把纸条收集起来看看黑魔法师们在密谋什么.",报告peulreta。,1102,0,11,0,0,1,1,1377,0,1,1377,0,0,10145,0,1|3,11,99,0,0,0,0,0,0,0,21|22,100014,5
15,0,QUT_Title_000012,QUT_Main_000012,QUT_Progress_000012,QUT_Finish_000012,QUT_Mini_000012,马凯乐的能力,"从今往后我们光之寺院会研究种族战争黑暗之力.但是为了精准研究研究师需要直接经历黑暗之力. /n /n问题就是和普通司祭相比黑暗研究师们的能力太弱了. /n /n虽然在这个地方也发现了一个黑暗存在, 但是没有$GetName()的帮助研究师们无法直接确认这个存在. /n /n在黑暗存在者 <TC '163:21:21' Text'马凯乐前方' /> 我使用 <TC '163:21:21' Text'光之球' />来召唤研究司祭们.被召唤的研究司祭们可以直接调查马凯乐.",在黑暗存在人<TC '163:21:21' Text'马凯乐' />的前方使用我给的<TC '163:21:21' Text'光之球' />来召唤我们.,"虽然知道用黑暗之力强化身体这一事实,但强化的能力已经超出了我们的预想.多亏 /n /n$GetName()的帮忙才能确认这一新事实真是很幸运啊.",报告比阿特丽斯。,1102,0,12,0,0,0,1,1093,0,1,1093,0,0,0,0,1|3,12,99,0,0,20185,1,0,0,0,26|25,100015,0
16,0,QUT_Title_000013,QUT_Main_000013,QUT_Progress_000013,QUT_Finish_000013,QUT_Mini_000013,持续性的确认,我们的光之司祭们通过特殊训练可以感知到黑暗气息.但是我们人类感知黑暗气息的能力有限. /n /n我们为了弥补这一弱点便用周围没有生命特征而变得狂暴的生灵做实验. /n /n万一狂暴的生灵中存在强化的生命那么我们就无法得知这个黑暗存在了. /n /n?? ???最近周围的 <TC '163:21:21' Text'蜘蛛丛林' />存在狂暴的报告.所以干掉蜘蛛丛林的话就可以确认黑暗家伙的身份了.,干掉<TC '163:21:21' Text'蜘蛛丛林' />确认它们是否被染上了黑暗.,如果$GetName()的确认精准的话好像蜘蛛丛林没有涌入变得粗暴的黑暗之力.真是幸运的事情.,报告SHINEE。,1102,0,13,0,0,1,1,1122,0,1,1122,0,0,0,0,1|3,13,99,0,0,0,0,0,0,0,27|28,100016,0
17,0,QUT_Title_000014,QUT_Main_000014,QUT_Progress_000014,QUT_Finish_000014,QUT_Mini_000014,格兰卡伦的情报,"哈哈.这次光之司祭们无法找到黑魔法师的踪迹.但是即便如此真的不存在介入砂轮王国的黑魔法师吗? /n /n我在盗贼团得知他们交易过的计划,借此机会告诉他们的阴谋我就能获得很高的价值. /n /n<TC '163:21:21' Text'在砂轮王国' /> <TC '163:21:21' Text'抓住' />砂轮之王. 回收分明存在黑暗气息的 <TC '163:21:21' Text'物品' />.",抓住<TC '163:21:21' Text'砂轮之王' />.回收分明存在黑暗气息的<TC '163:21:21' Text'物品' />.,是格兰卡伦提供的信息吗? /n /n寻找的血石和塔尔里多的心脏完全一致.真是这样的话我们也无法感知远距离的黑暗气息了. /n /n到现在为止我们的黑魔法师非常不重视.以后没有这样的事了.,报告SHINEE。,1102,0,14,0,0,1,1,1103,0,1,1122,0,0,10176,0,1|3,14,99,0,0,0,0,0,0,0,29,100017|401181|401182,6
18,0,QUT_Title_000015,QUT_Main_000015,QUT_Progress_000015,QUT_Finish_000015,QUT_Mini_000015,真实之眼, $GetName()在来之前我们正在调查“黑暗之夜”事件. 并且已经知道黑暗之夜事件并不是自然发生的事实. /n /n现在正在找引起黑暗之夜的黑魔法师的痕迹.但是因为他的气息太模糊我们不能把握他的准确位置. 或许他使用了隐身魔法... /n /n要是敌人用来隐身魔法的话我们在原来的位置上是不可能找到他的痕迹的.我们只有亲自去可以的场所去找了. /n /n带着我给的 <TC '163:21:21' Text'真实之水晶' />去可疑的场所使用 <TC '163:21:21' Text'可以除去黑暗气息' />并且能找到黑魔法师.,在可疑的场所使用<TC '163:21:21' Text'真实之水晶' />之后请干掉<TC '163:21:21' Text'隐身的黑魔法师' />.,处置这次事件的元凶.然而好像有点晚了.这片土地已经被黑暗气息覆盖了. /n /n为了让这片土地的黑暗气息消失只能仔仔细细地净化这一周围.,比安科所示的对话框。,1102,0,15,0,0,0,1,1133,0,1,1163,0,0,10197,0,1|3,15,99,0,0,20189,1,0,0,0,30|31,100018|401183|401184,0
